,GM_DATE,HOME_TEAM,SPREAD_1_AWAY,ODDS_1_AWAY,SPREAD_2_AWAY,ODDS_2_AWAY,SPREAD_3_AWAY,ODDS_3_AWAY,SPREAD_4_AWAY,ODDS_4_AWAY,SPREAD_1_HOME,ODDS_1_HOME,SPREAD_2_HOME,ODDS_2_HOME,SPREAD_3_HOME,ODDS_3_HOME,SPREAD_4_HOME,ODDS_4_HOME
49,2021-10-27,Phoenix,+8,-110,+7½,-110,+7½,-110,+10,-165,-8,-110,-7½,-110,-7½,-110,-10,+120
50,2021-10-27,Milwaukee,+6,-110,+7½,-110,+5½,-110,+7½,-165,-6,-110,-7½,-110,-5½,-110,-4½,-145
51,2021-10-27,Brooklyn,+3½,-110,+4½,-109,+3,-109,+5½,-145,-3½,-110,-4½,-112,-3,-112,-5½,+105
52,2021-10-27,Boston,+4,-110,+4½,-109,+4,-109,+6,-165,-4,-110,-4½,-112,-4,-112,-6,+120
53,2021-10-27,New Orleans,-5,-110,-6,-110,-5,-112,-3,-165,+5,-110,+6,-110,+5,-110,+3,+120
54,2021-10-27,Orlando,-5½,-110,-6,-110,-5½,-110,-7½,+125,+5½,-110,+6,-110,+5½,-110,+4½,+100
55,2021-10-27,Oklahoma City,-5½,-110,,-,-6,-110,-7½,+125,+5½,-110,,-,+6,-110,+7½,-175
56,2021-10-28,Dallas,+6½,-110,,-,+6½,-110,+6½,-110,-6½,-110,,-,-6½,-110,-8½,+130
57,2021-10-28,Golden State,+6,-110,,-,+6,-110,+6,-110,-6,-110,,-,-6,-110,-8,+125
58,2021-10-28,Houston,-9½,-110,,-,-9,-110,-8½,-135,+9½,-110,,-,+9,-110,+8½,-105
59,2021-10-28,Washington,-4,-115,,-,-2½,-108,-6,+120,+4,-105,,-,+2½,-114,+6,-165
60,2021-10-28,Philadelphia,+9½,-105,,-,+10,-110,+13,-160,-9½,-115,,-,-10,-110,-13,+115
61,2021-10-28,Chicago,+1,-110,,-,+1½,-110,+3,-145,-1,-110,,-,-1½,-112,-3,+105
62,2021-10-29,Toronto,+9½,-110,,-,,-,+11½,-150,-9½,-110,,-,,-,-11½,+110
63,2021-10-29,Miami,+6½,-110,,-,,-,+8½,-175,-6½,-110,,-,,-,-8½,+125
64,2021-10-29,Brooklyn,+8½,-110,,-,,-,+10½,-160,-8½,-110,,-,,-,-10½,+115
